CellType,Symbol,AffymetrixID,UGCluster,EntrezGene
B cells,MS4A1,217418_x_at,Hs.438040 ,931
B cells,TCL1A,209995_s_at,Hs.2484 ,8115
B cells,MS4A1,210356_x_at,Hs.438040 ,931
B cells,TCL1A,39318_at,Hs.2484 ,8115
B cells,HLA-DOB,205671_s_at,Hs.1802 ,3112
B cells,PNOC,205901_at,Hs.88218 ,5368
B cells,KIAA0125,206478_at,Hs.649259 ,9834
B cells,CD19,206398_s_at,Hs.652262 ,930
B cells,CR2,205544_s_at,Hs.445757 ,1380
B cells,IGHG1,213674_x_at,Hs.510635 ,3500
B cells,FCRL2,221239_s_at,Hs.437393 ,79368
B cells,BLK,206255_at,Hs.146591 ,640
B cells,IGHG1,222285_at,Hs.510635 ,3500
B cells,COCH,205229_s_at,Hs.21016 ,1690
B cells,OSBPL10,219073_s_at,Hs.150122 ,114884
B cells,IGHA1,215118_s_at,Hs.648398 ,3493
B cells,TNFRSF17,206641_at,Hs.2556 ,608
B cells,ABCB4,207819_s_at,Hs.654403 ,5244
B cells,BLNK,207655_s_at,Hs.665244 ,29760
B cells,GLDC,204836_at,Hs.584238 ,2731
B cells,MEF2C,209200_at,Hs.654474 ,4208
B cells,MEF2C,209199_s_at,Hs.654474 ,4208
B cells,IGHM,209374_s_at,Hs.510635 ,3507
B cells,FAM30A,220377_at,Hs.649259 ,29064
B cells,SPIB,205861_at,Hs.437905 ,6689
B cells,BCL11A,219497_s_at,Hs.370549 ,53335
B cells,GNG7,206896_s_at,Hs.515544 ,2788
B cells,IGKC,215217_at,Hs.449621 ,3514
B cells,CD72,215925_s_at,Hs.116481 ,971
B cells,MICAL3,212715_s_at,Hs.646433 ,57553
B cells,BCL11A,210347_s_at,Hs.370549 ,53335
B cells,BACH2,221234_s_at,Hs.269764 ,60468
B cells,IGL@,217138_x_at,Hs.449585 ,3535
B cells,CCR9,207445_s_at,Hs.225946 ,10803
B cells,QRSL1,218948_at,Hs.406917 ,55278
B cells,DTNB,215565_at,Hs.307720 ,1838
B cells,HLA-DQA1,212671_s_at,Hs.387679 ,3117
B cells,SCN3A,210432_s_at,Hs.671090 ,6328
B cells,QRSL1,218949_s_at,Hs.406917 ,55278
B cells,SLC15A2,205316_at,Hs.518089 ,6565
T cells,PRKCQ,210038_at,Hs.498570 ,5588
T cells,CD3D,213539_at,Hs.504048 ,915
T cells,CD3G,206804_at,Hs.2259 ,917
T cells,CD28,206545_at,Hs.591629 ,940
T cells,LCK,204891_s_at,Hs.470627 ,3932
T cells,TRAT1,217147_s_at,Hs.138701 ,50852
T cells,PRKCQ,210039_s_at,Hs.498570 ,5588
T cells,BCL11B,219528_s_at,Hs.510396 ,64919
T cells,CD2,205831_at,Hs.523500 ,914
T cells,LCK,204890_s_at,Hs.470627 ,3932
T cells,TRBC1,213193_x_at,Hs.654496 ,28639
T cells,TRBC1,210915_x_at,Hs.654496 ,28639
T cells,TRA@,209670_at,Hs.74647 ,28755
T cells,ITM2A,202747_s_at,Hs.17109 ,9452
T cells,SH2D1A,210116_at,Hs.349094 ,4068
T cells,CD6,213958_at,Hs.643167 ,923
T cells,CD96,206761_at,Hs.142023 ,10225
T cells,NCALD,211685_s_at,Hs.680132 ,83988
T cells,GIMAP5,218805_at,Hs.647079 ,55340
T cells,TRA@,209671_x_at,Hs.74647 ,6955
T cells,CD3E,205456_at,Hs.3003 ,916
T cells,SKAP1,205790_at,Hs.316931 ,8631
T cells,TRA@,213830_at,Hs.74647 ,6955
T cells,TRA@,216191_s_at,Hs.74647 ,6955
T helper cells,ICOS,210439_at,Hs.56247 ,29851
T helper cells,LRBA,214109_at,Hs.480938 ,987
T helper cells,ITM2A,202746_at,Hs.17109 ,9452
T helper cells,FAM111A,218248_at,Hs.150651 ,63901
T helper cells,PHF10,219126_at,Hs.435933 ,55274
T helper cells,NUP107,218768_at,Hs.524574 ,57122
T helper cells,SEC24C,202361_at,Hs.654429 ,9632
T helper cells,NAP1L4,201414_s_at,Hs.501684 ,4676
T helper cells,BATF,205965_at,Hs.509964 ,10538
T helper cells,ASF1A,203428_s_at,Hs.292316 ,25842
T helper cells,FRYL,212546_s_at,Hs.268650542875 ,285527
T helper cells,FUSIP1,213594_x_at,Hs.652334 ,10772
T helper cells,TRA@,215524_x_at,Hs.499145 ,10730
T helper cells,TRA@,217412_at,None,6955
T helper cells,RPA1,201528_at,Hs.595562 ,6117
T helper cells,UBE2L3,200683_s_at,Hs.693707 ,7332
T helper cells,ANP32B,201306_s_at,Hs.494604 ,10541
T helper cells,DDX50,221699_s_at,Hs.522984 ,79009
T helper cells,C13orf34,219544_at,Hs.653132 ,79866
T helper cells,PPP2R5C,213305_s_at,Hs.368264 ,5527
T helper cells,SLC25A12,203340_s_at,Hs.470608 ,8604
T helper cells,ATF2,205446_s_at,Hs.694722 ,1386
T helper cells,CD28,211856_x_at,Hs.591629 ,940
T helper cells,GOLGA8A,208798_x_at,Hs.182982 ,23015
Tcm,CDC14A,210441_at,Hs.127411 ,8556
Tcm,ATM,208442_s_at,Hs.367437 ,472
Tcm,USP9Y,206624_at,Hs.655309 ,8287
Tcm,PCNX,215175_at,Hs.446559 ,22990
Tcm,ATM,210858_x_at,Hs.367437 ,472
Tcm,FOXP1,215221_at,Hs.431498 ,27086
Tcm,KLF12,206965_at,Hs.592500 ,11278
Tcm,ST3GAL1,215874_at,Hs.584803 ,6482
Tcm,INPP4B,215864_at,Hs.658245 ,8821
Tcm,CASP8,207686_s_at,Hs.655983 ,841
Tcm,MLL,216624_s_at,Hs.664477 ,4297
Tcm,PCM1,209997_x_at,Hs.491148 ,5108
Tcm,RP11-74E24.2,205787_x_at,Hs.546686 ,441155
Tcm,PHC3,215521_at,Hs.694467 ,80012
Tcm,NFATC3,210556_at,Hs.632209 ,4775
Tcm,LOC202134,215133_s_at,Hs.655683 ,202134
Tcm,TIMM8A,210800_at,Hs.447877 ,1678
